condition,seed,agent,time_sec,phase_rad
shared,15138832,14,13.500000,0.251366
shared,15138832,16,13.500000,0.251366
shared,15138832,17,13.500000,0.251366
shared,15138832,18,13.500000,0.251366
shared,15138832,19,13.500000,0.251366
shared,15138832,20,13.500000,0.251366
shared,15138832,21,13.500000,0.251366
shared,15138832,22,13.500000,0.251366
shared,15138832,24,13.500000,0.251366
shared,15138832,25,13.500000,0.251366
shared,15138832,26,13.500000,0.251366
shared,15138832,27,13.500000,0.251366
shared,15138832,29,13.500000,0.251366
shared,15138832,30,13.500000,0.251366
shared,15138832,31,13.500000,0.251366
shared,15138832,15,13.520000,0.502693
shared,15138832,23,13.520000,0.502693
shared,15138832,28,13.520000,0.502693
shared,15138832,0,14.000000,0.251367
shared,15138832,1,14.000000,0.251367
shared,15138832,2,14.000000,0.251367
shared,15138832,3,14.000000,0.251367
shared,15138832,4,14.000000,0.251367
shared,15138832,5,14.000000,0.251367
shared,15138832,6,14.000000,0.251367
shared,15138832,7,14.000000,0.251367
shared,15138832,8,14.000000,0.251367
shared,15138832,9,14.000000,0.251367
shared,15138832,10,14.000000,0.251367
shared,15138832,11,14.000000,0.251367
shared,15138832,12,14.000000,0.251367
shared,15138832,13,14.000000,0.251367
shared,15138832,14,14.000000,0.251367
shared,15138832,16,14.000000,0.251367
shared,15138832,17,14.000000,0.251367
shared,15138832,18,14.000000,0.251367
shared,15138832,19,14.000000,0.251367
shared,15138832,20,14.000000,0.251367
shared,15138832,21,14.000000,0.251367
shared,15138832,22,14.000000,0.251367
shared,15138832,24,14.000000,0.251367
shared,15138832,25,14.000000,0.251367
shared,15138832,26,14.000000,0.251367
shared,15138832,27,14.000000,0.251367
shared,15138832,29,14.000000,0.251367
shared,15138832,30,14.000000,0.251367
shared,15138832,31,14.000000,0.251367
shared,15138832,15,14.020000,0.502695
shared,15138832,23,14.020000,0.502695
shared,15138832,28,14.020000,0.502695
shared,15138832,0,14.500000,0.251369
shared,15138832,1,14.500000,0.251369
shared,15138832,2,14.500000,0.251369
shared,15138832,3,14.500000,0.251369
shared,15138832,4,14.500000,0.251369
shared,15138832,5,14.500000,0.251369
shared,15138832,6,14.500000,0.251369
shared,15138832,7,14.500000,0.251369
shared,15138832,8,14.500000,0.251369
shared,15138832,9,14.500000,0.251369
shared,15138832,10,14.500000,0.251369
shared,15138832,11,14.500000,0.251369
shared,15138832,12,14.500000,0.251369
shared,15138832,13,14.500000,0.251369
shared,15138832,14,14.500000,0.251369
shared,15138832,16,14.500000,0.251369
shared,15138832,17,14.500000,0.251369
shared,15138832,18,14.500000,0.251369
shared,15138832,19,14.500000,0.251369
shared,15138832,20,14.500000,0.251369
shared,15138832,21,14.500000,0.251369
shared,15138832,22,14.500000,0.251369
shared,15138832,24,14.500000,0.251369
shared,15138832,25,14.500000,0.251369
