agent_id,step,semitone_before,semitone_after,delta_semitones
18,3,1.956820,1.716820,-0.240000
18,5,1.716820,1.536816,-0.180004
18,7,1.536816,1.626823,0.090008
18,9,1.626823,1.716820,0.089996
18,11,1.716820,1.536816,-0.180004
18,13,1.536816,1.656818,0.120003
18,15,1.656818,1.596817,-0.060001
18,17,1.596817,1.476820,-0.119997
18,19,1.476820,1.686819,0.209999
18,21,1.686819,1.926819,0.240000
18,23,1.926819,2.016815,0.089996
18,25,2.016815,2.196819,0.180004
18,27,2.196819,2.406818,0.209999
18,29,2.406818,2.496820,0.090002
18,31,2.496820,2.256821,-0.240000
18,33,2.256821,2.076817,-0.180004
18,35,2.076817,1.836823,-0.239994
18,37,1.836823,1.596817,-0.240005
18,39,1.596817,1.686819,0.090002
18,41,1.686819,1.866817,0.179998
18,43,1.866817,2.046822,0.180004
18,45,2.046822,1.956820,-0.090002
18,47,1.956820,1.866817,-0.090002
18,49,1.866817,1.776821,-0.089996
18,51,1.776821,1.866817,0.089996
19,2,-17.543180,-17.483179,0.060001
19,4,-17.483179,-17.363182,0.119997
19,6,-17.363182,-17.273180,0.090002
19,8,-17.273180,-17.093182,0.179998
19,10,-17.093182,-16.883183,0.209999
19,12,-16.883183,-16.733179,0.150003
19,14,-16.733179,-16.643177,0.090002
19,16,-16.643177,-16.613182,0.029995
19,18,-16.613182,-16.553181,0.060001
19,20,-16.553181,-16.373177,0.180004
19,22,-16.373177,-16.133183,0.239994
19,24,-16.133183,-15.953178,0.180004
19,26,-15.953178,-15.743179,0.209999
19,28,-15.743179,-15.653183,0.089996
19,30,-15.653183,-15.443184,0.209999
19,32,-15.443184,-15.323181,0.120003
19,34,-15.323181,-15.443184,-0.120003
19,36,-15.443184,-15.533180,-0.089996
19,38,-15.533180,-15.473179,0.060001
19,40,-15.473179,-15.413177,0.060001
19,42,-15.413177,-15.233179,0.179998
19,44,-15.233179,-15.263180,-0.030001
19,46,-15.263180,-15.203178,0.060001
19,48,-15.203178,-15.023180,0.179998
19,50,-15.023180,-14.813181,0.209999
19,52,-14.813181,-17.153183,-2.340002
20,1,-11.603182,-11.843182,-0.240000
20,3,-11.843182,-11.783180,0.060001
20,5,-11.783180,-11.633183,0.149998
20,7,-11.633183,-11.843182,-0.209999
20,9,-11.843182,-11.813181,0.030001
20,11,-11.813181,-11.843182,-0.030001
20,13,-11.843182,-11.873177,-0.029995
20,15,-11.873177,-11.903183,-0.030006
20,17,-11.903183,-11.723179,0.180004
20,19,-11.723179,-11.903183,-0.180004
20,21,-11.903183,-12.083181,-0.179998
20,23,-12.083181,-11.873177,0.210005
20,25,-11.873177,-11.813181,0.059996
20,27,-11.813181,-11.603182,0.209999
20,29,-11.603182,-11.663177,-0.059996
20,31,-11.663177,-11.783180,-0.120003
20,33,-11.783180,-11.903183,-0.120003
20,35,-11.903183,-12.143177,-0.239994
20,37,-12.143177,-12.113182,0.029995
20,41,-12.113182,-12.143177,-0.029995
20,43,-12.143177,-12.263180,-0.120003
20,45,-12.263180,-12.353182,-0.090002
20,47,-12.353182,-12.473179,-0.119997
20,49,-12.473179,-12.563181,-0.090002
20,51,-12.563181,-12.173183,0.389997
20,53,-12.173183,-10.133183,2.040001
21,2,-10.283180,-10.433178,-0.149998
21,4,-10.433178,-10.373177,0.060001
21,6,-10.373177,-10.253180,0.119997
21,8,-10.253180,-10.463184,-0.210005
21,10,-10.463184,-10.373177,0.090008
21,12,-10.373177,-10.583181,-0.210005
21,14,-10.583181,-10.733179,-0.149998
21,16,-10.733179,-10.853182,-0.120003
21,18,-10.853182,-10.643177,0.210005
21,20,-10.643177,-10.463184,0.179993
21,22,-10.463184,-10.283180,0.180004
21,24,-10.283180,-10.073181,0.209999
21,26,-10.073181,-9.983179,0.090002
21,28,-9.983179,-10.223179,-0.240000
21,30,-10.223179,-10.073181,0.149998
21,32,-10.073181,-10.253180,-0.179998
21,34,-10.253180,-10.433178,-0.179998
21,36,-10.433178,-10.313181,0.119997
21,38,-10.313181,-10.133183,0.179998
21,40,-10.133183,-9.953178,0.180004
21,42,-9.953178,-10.043180,-0.090002
21,44,-10.043180,-10.133183,-0.090002
21,46,-10.133183,-10.223179,-0.089996
21,48,-10.223179,-9.983179,0.240000
21,50,-9.983179,-10.133183,-0.150003
