condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
heredity,12648491,32,4,1340,3290,1950,0.713272,0.713272,0.713260,0.002072,0.713272,21
heredity,12648491,41,16,1370,3296,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,42,22,1377,3303,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,44,10,1380,3306,1926,0.713272,0.713272,0.713260,0.002086,0.713272,16
heredity,12648491,45,26,1382,3308,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,38,13,1354,3309,1955,0.713272,0.713272,0.713260,0.002057,0.713272,21
heredity,12648491,43,23,1379,3324,1945,0.713272,0.713272,0.713260,0.002086,0.713272,16
heredity,12648491,35,18,1342,3328,1986,0.713272,0.713272,0.713260,0.002013,0.713272,16
heredity,12648491,46,0,1390,3345,1955,0.713272,0.713272,0.713260,0.002057,0.713272,16
heredity,12648491,51,14,1427,3353,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,48,28,1407,3357,1950,0.713272,0.713272,0.713260,0.002072,0.713272,16
heredity,12648491,53,31,1434,3360,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,47,11,1393,3364,1971,0.713272,0.713272,0.713260,0.002028,0.713272,21
heredity,12648491,50,9,1415,3374,1959,0.713272,0.713272,0.713260,0.002057,0.713272,16
heredity,12648491,52,3,1431,3386,1955,0.713272,0.713272,0.713260,0.002057,0.713272,16
heredity,12648491,57,27,1484,3412,1928,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,55,6,1465,3416,1951,0.713272,0.713272,0.713260,0.002072,0.713272,21
heredity,12648491,58,20,1491,3417,1926,0.713272,0.713272,0.713260,0.002086,0.713272,14
heredity,12648491,56,30,1483,3430,1947,0.713272,0.713272,0.713260,0.002072,0.713272,15
heredity,12648491,59,19,1506,3476,1970,0.713272,0.713272,0.713260,0.002028,0.713272,21
heredity,12648491,60,25,1557,3529,1972,0.713272,0.713272,0.713260,0.002028,0.713272,15
heredity,12648491,61,12,1622,3581,1959,0.713272,0.713272,0.713260,0.002057,0.713272,21
heredity,12648491,62,8,1668,3594,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,63,21,1968,3940,1972,0.713272,0.713272,0.713260,0.002028,0.713272,21
heredity,12648491,54,17,1437,4303,2866,0.869718,0.869718,0.869710,0.006176,0.869718,30
heredity,12648491,64,5,3087,5021,1934,0.713272,0.713272,0.713260,0.002072,0.713272,15
heredity,12648491,69,15,3281,5027,1746,0.663039,0.663039,0.663035,0.003910,0.663039,14
heredity,12648491,70,24,3284,5035,1751,0.663039,0.663039,0.663035,0.003887,0.663039,18
heredity,12648491,75,26,3309,5056,1747,0.663039,0.663039,0.663035,0.003910,0.663039,18
heredity,12648491,67,7,3159,5085,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,66,29,3145,5096,1951,0.713272,0.713272,0.713260,0.002072,0.713272,16
heredity,12648491,65,2,3120,5110,1990,0.713272,0.713272,0.713260,0.002013,0.713272,15
heredity,12648491,89,30,3431,5177,1746,0.663039,0.663039,0.663035,0.003910,0.663039,13
heredity,12648491,68,1,3269,5195,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,73,22,3304,5230,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,74,10,3307,5233,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,76,13,3310,5236,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,71,4,3291,5246,1955,0.713272,0.713272,0.713260,0.002057,0.713272,16
heredity,12648491,77,23,3325,5260,1935,0.713272,0.713272,0.713260,0.002072,0.713272,15
heredity,12648491,72,16,3297,5263,1966,0.713272,0.713272,0.713260,0.002043,0.713272,16
heredity,12648491,81,28,3358,5284,1926,0.713272,0.713272,0.713260,0.002086,0.713272,21
heredity,12648491,82,31,3361,5287,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,79,0,3346,5300,1954,0.713272,0.713272,0.713260,0.002057,0.713272,21
heredity,12648491,78,18,3329,5311,1982,0.713272,0.713272,0.713260,0.002028,0.713272,21
heredity,12648491,83,11,3365,5329,1964,0.713272,0.713272,0.713260,0.002043,0.713272,16
heredity,12648491,85,3,3387,5330,1943,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,84,9,3375,5336,1961,0.713272,0.713272,0.713260,0.002057,0.713272,21
heredity,12648491,86,27,3413,5339,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,87,6,3417,5350,1933,0.713272,0.713272,0.713260,0.002072,0.713272,16
heredity,12648491,88,20,3418,5386,1968,0.713272,0.713272,0.713260,0.002043,0.713272,16
heredity,12648491,90,19,3477,5449,1972,0.713272,0.713272,0.713260,0.002028,0.713272,16
heredity,12648491,91,25,3530,5456,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,93,8,3595,5531,1936,0.713272,0.713272,0.713260,0.002072,0.713272,16
heredity,12648491,94,21,3941,5867,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,95,17,4304,6050,1746,0.663039,0.663039,0.663035,0.003910,0.663039,18
heredity,12648491,80,14,3354,6207,2853,0.869718,0.869718,0.869711,0.006152,0.869718,23
heredity,12648491,92,12,3582,6461,2879,0.869718,0.869718,0.869710,0.006191,0.869718,31
heredity,12648491,96,5,5022,6692,1670,0.638599,0.638599,0.638605,0.000000,0.638599,13
heredity,12648491,98,24,5036,6782,1746,0.663039,0.663039,0.663035,0.003910,0.663039,14
heredity,12648491,100,7,5086,6872,1786,0.663039,0.663039,0.663036,0.003727,0.663039,19
heredity,12648491,114,18,5312,6933,1621,0.621854,0.621854,0.621841,0.003634,0.621854,12
heredity,12648491,102,2,5111,7037,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,105,22,5231,7050,1819,0.684698,0.684698,0.684693,0.002537,0.684698,19
heredity,12648491,103,30,5178,7104,1926,0.713272,0.713272,0.713260,0.002086,0.713272,16
heredity,12648491,107,13,5237,7163,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,106,10,5234,7200,1966,0.713272,0.713272,0.713260,0.002043,0.713272,16
heredity,12648491,113,0,5301,7230,1929,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,121,19,5450,7237,1787,0.663039,0.663039,0.663036,0.003727,0.663039,14
heredity,12648491,117,9,5337,7263,1926,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,119,6,5351,7277,1926,0.713272,0.713272,0.713260,0.002086,0.713272,20
heredity,12648491,115,11,5330,7313,1983,0.713272,0.713272,0.713260,0.002028,0.713272,16
heredity,12648491,122,25,5457,7416,1959,0.713272,0.713272,0.713260,0.002057,0.713272,21
heredity,12648491,118,27,5340,7495,2155,0.752957,0.752957,0.752939,0.005057,0.752957,18
heredity,12648491,123,8,5532,7498,1966,0.713272,0.713272,0.713260,0.002043,0.713272,16
heredity,12648491,97,15,5028,7925,2897,0.869718,0.869718,0.869709,0.006215,0.869718,23
heredity,12648491,99,26,5057,7950,2893,0.869718,0.869718,0.869710,0.006210,0.869718,31
heredity,12648491,101,29,5097,7993,2896,0.869718,0.869718,0.869709,0.006220,0.869718,30
heredity,12648491,104,1,5196,8076,2880,0.869718,0.869718,0.869710,0.006191,0.869718,31
heredity,12648491,109,23,5261,8099,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,111,28,5285,8123,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,108,4,5247,8135,2888,0.869718,0.869718,0.869710,0.006205,0.869718,22
heredity,12648491,112,31,5288,8150,2862,0.869718,0.869718,0.869710,0.006171,0.869718,31
heredity,12648491,110,16,5264,8164,2900,0.869718,0.869718,0.869709,0.006229,0.869718,31
heredity,12648491,116,3,5331,8181,2850,0.869718,0.869718,0.869711,0.006147,0.869718,23
heredity,12648491,120,20,5387,8262,2875,0.869718,0.869718,0.869710,0.006186,0.869718,24
heredity,12648491,124,21,5868,8737,2869,0.869718,0.869718,0.869710,0.006181,0.869718,30
heredity,12648491,131,18,6934,8876,1942,0.713272,0.713272,0.713260,0.002086,0.713272,15
heredity,12648491,125,17,6051,8894,2843,0.869718,0.869718,0.869711,0.006142,0.869718,30
heredity,12648491,126,14,6208,9046,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,140,6,7278,9083,1805,0.663039,0.663039,0.663037,0.003634,0.663039,19
heredity,12648491,142,25,7417,9185,1768,0.663039,0.663039,0.663036,0.003814,0.663039,19
heredity,12648491,135,13,7164,9285,2121,0.752957,0.752957,0.752939,0.005121,0.752957,17
heredity,12648491,127,12,6462,9364,2902,0.869718,0.869718,0.869709,0.006234,0.869718,31
heredity,12648491,128,5,6693,9541,2848,0.869718,0.869718,0.869711,0.006142,0.869718,30
heredity,12648491,129,24,6783,9621,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,130,7,6873,9711,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,132,2,7038,9876,2838,0.869718,0.869718,0.869711,0.006128,0.869718,30
heredity,12648491,133,22,7051,9920,2869,0.869718,0.869718,0.869710,0.006181,0.869718,31
heredity,12648491,147,29,7994,9920,1926,0.713272,0.713272,0.713260,0.002086,0.713272,21
heredity,12648491,134,30,7105,9978,2873,0.869718,0.869718,0.869710,0.006181,0.869718,31
heredity,12648492,0,0,0,1339,1339,0.500000,0.500000,0.500000,0.000000,0.500000,11
heredity,12648492,2,2,0,1351,1351,0.506422,0.506422,0.506414,0.003396,0.506422,14
heredity,12648492,19,19,0,1374,1374,0.511900,0.511900,0.511902,0.000828,0.511900,11
