bin_center,mean_frac,std_frac,ci95_frac,n_seeds,n_pairs,mean_count,std_count
8.0250,0.000543,0.001728,0.000757,20,276,0.150000,0.476970
8.0750,0.000725,0.003159,0.001384,20,276,0.200000,0.871780
8.1250,0.012681,0.009202,0.004033,20,276,3.500000,2.539685
8.1750,0.009783,0.013562,0.005944,20,276,2.700000,3.742993
8.2250,0.004348,0.004225,0.001852,20,276,1.200000,1.166190
8.2750,0.002717,0.005359,0.002349,20,276,0.750000,1.479020
8.3250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
8.3750,0.000725,0.002457,0.001077,20,276,0.200000,0.678233
8.4250,0.001268,0.002631,0.001153,20,276,0.350000,0.726292
8.4750,0.003442,0.005184,0.002272,20,276,0.950000,1.430909
8.5250,0.003261,0.004272,0.001872,20,276,0.900000,1.178983
8.5750,0.002355,0.004762,0.002087,20,276,0.650000,1.314344
8.6250,0.001268,0.004014,0.001759,20,276,0.350000,1.107926
8.6750,0.003986,0.008254,0.003618,20,276,1.100000,2.278157
8.7250,0.001449,0.003695,0.001619,20,276,0.400000,1.019804
8.7750,0.001268,0.003489,0.001529,20,276,0.350000,0.963068
8.8250,0.007609,0.008643,0.003788,20,276,2.100000,2.385372
8.8750,0.012319,0.010954,0.004801,20,276,3.400000,3.023243
8.9250,0.001630,0.007107,0.003115,20,276,0.450000,1.961505
8.9750,0.001993,0.003527,0.001546,20,276,0.550000,0.973396
9.0250,0.001449,0.003513,0.001540,20,276,0.400000,0.969536
9.0750,0.004167,0.004898,0.002147,20,276,1.150000,1.351851
9.1250,0.002355,0.004898,0.002147,20,276,0.650000,1.351851
9.1750,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
9.2250,0.002174,0.004496,0.001971,20,276,0.600000,1.240967
9.2750,0.001087,0.002830,0.001240,20,276,0.300000,0.781025
9.3250,0.016123,0.009481,0.004155,20,276,4.450000,2.616773
9.3750,0.001993,0.005184,0.002272,20,276,0.550000,1.430909
9.4250,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
9.4750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
9.5250,0.000181,0.000790,0.000346,20,276,0.050000,0.217945
9.5750,0.000000,0.000000,0.000000,20,276,0.000000,0.000000
9.6250,0.000906,0.002255,0.000988,20,276,0.250000,0.622495
9.6750,0.019022,0.011042,0.004839,20,276,5.250000,3.047540
9.7250,0.001268,0.002870,0.001258,20,276,0.350000,0.792149
9.7750,0.000906,0.002777,0.001217,20,276,0.250000,0.766485
