# G(F)=a*H_soc+b*R_soc+c*H_soc*R_soc; H_soc=H_scene-mean_i H(singleton_i); R_soc=R_scene-mean_i R(singleton_i); scene includes adaptive voices plus fixed drone
step,baseline_g_scene,baseline_h_scene,baseline_h_single_mean,baseline_h_social,baseline_r_scene,baseline_r_single_mean,baseline_r_social,nohill_g_scene,nohill_h_scene,nohill_h_single_mean,nohill_h_social,nohill_r_scene,nohill_r_single_mean,nohill_r_social
96,-28.721420,0.974711,1.166504,-0.191792,21.275692,0.000567,21.275126,-24.765429,1.074664,1.167469,-0.092805,18.345322,0.000560,18.344761
97,-28.545326,1.001274,1.166504,-0.165230,21.145254,0.000568,21.144686,-24.798645,1.079546,1.167474,-0.087928,18.369926,0.000560,18.369366
98,-28.357586,1.024961,1.166407,-0.141446,21.006186,0.000567,21.005619,-25.097486,1.081159,1.167474,-0.086315,18.591290,0.000560,18.590731
99,-28.121727,1.040909,1.166408,-0.125500,20.831474,0.000567,20.830908,-25.072863,1.079187,1.167474,-0.088287,18.573050,0.000560,18.572491
100,-27.715967,1.055827,1.166425,-0.110599,20.530916,0.000571,20.530346,-25.244705,1.069902,1.167474,-0.097572,18.700340,0.000559,18.699781
101,-27.715967,1.055827,1.166425,-0.110599,20.530916,0.000571,20.530346,-25.244705,1.069902,1.167474,-0.097572,18.700340,0.000559,18.699781
102,-27.778397,1.096985,1.166419,-0.069435,20.577148,0.000560,20.576590,-25.299051,1.078004,1.167474,-0.089470,18.740593,0.000555,18.740038
103,-27.171032,1.129527,1.166424,-0.036897,20.127249,0.000559,20.126690,-25.286644,1.079464,1.167474,-0.088010,18.731401,0.000555,18.730846
104,-27.073967,1.171144,1.166752,0.004393,20.124079,0.000559,20.123520,-25.359289,1.079215,1.167473,-0.088259,18.785213,0.000555,18.784658
105,-25.748457,1.203204,1.166750,0.036454,19.630556,0.000559,19.629997,-25.377827,1.081717,1.167474,-0.085757,18.798944,0.000555,18.798389
106,-23.912163,1.227676,1.166767,0.060909,18.597437,0.000560,18.596876,-25.458391,1.091146,1.167474,-0.076328,18.858622,0.000555,18.858067
107,-22.487131,1.265214,1.166757,0.098457,18.046749,0.000559,18.046190,-25.432520,1.102410,1.167474,-0.065064,18.839458,0.000555,18.838903
108,-20.766075,1.318150,1.166865,0.151285,17.450380,0.000564,17.449816,-25.427164,1.111269,1.167474,-0.056205,18.835491,0.000555,18.834936
109,-19.469515,1.327761,1.166881,0.160881,16.508913,0.000566,16.508347,-25.482157,1.108403,1.167474,-0.059070,18.876226,0.000555,18.875671
110,-19.093065,1.350101,1.166887,0.183213,16.521391,0.000566,16.520824,-25.482157,1.108403,1.167474,-0.059070,18.876226,0.000555,18.875671
111,-17.949240,1.386569,1.166898,0.219671,16.074564,0.000565,16.073999,-25.655090,1.121623,1.167474,-0.045851,19.004326,0.000555,19.003771
112,-17.949240,1.386569,1.166898,0.219671,16.074564,0.000565,16.073999,-25.600090,1.121915,1.167474,-0.045559,18.963583,0.000553,18.963030
113,-17.133598,1.421308,1.166898,0.254409,15.871464,0.000565,15.870899,-25.597673,1.126821,1.167459,-0.040638,18.961792,0.000553,18.961239
114,-15.510934,1.442907,1.167007,0.275900,14.698299,0.000567,14.697732,-25.713463,1.127873,1.167459,-0.039586,19.047562,0.000553,19.047009
115,-14.199791,1.442423,1.167024,0.275398,13.470851,0.000569,13.470283,-26.045076,1.136976,1.167461,-0.030485,19.293201,0.000553,19.292648
116,-12.323824,1.459290,1.166561,0.292729,11.933688,0.000556,11.933132,-26.014091,1.128656,1.167461,-0.038804,19.270250,0.000553,19.269697
117,-12.164188,1.470033,1.166561,0.303471,11.913903,0.000556,11.913347,-26.035711,1.135059,1.167461,-0.032402,19.286264,0.000553,19.285711
118,-12.023008,1.479666,1.166644,0.313023,11.896697,0.000556,11.896141,-26.176445,1.119812,1.167461,-0.047648,19.390512,0.000553,19.389959
119,-10.548312,1.493574,1.167340,0.326234,10.622704,0.000602,10.622101,-26.111107,1.107561,1.167461,-0.059899,19.342112,0.000551,19.341560
120,-9.953797,1.508604,1.167340,0.341264,10.206511,0.000603,10.205908,-26.096371,1.111573,1.167461,-0.055887,19.331196,0.000551,19.330645
121,-9.881331,1.527720,1.167461,0.360259,10.348357,0.000605,10.347752,-26.096371,1.111573,1.167461,-0.055887,19.331196,0.000551,19.330645
122,-9.379200,1.548632,1.167496,0.381136,10.074607,0.000605,10.074001,-26.096371,1.111573,1.167461,-0.055887,19.331196,0.000551,19.330645
123,-9.379200,1.548632,1.167496,0.381136,10.074607,0.000605,10.074001,-26.146109,1.114383,1.167461,-0.053078,19.368036,0.000550,19.367487
