step,agent_id,semitones,c_level
22,8,6.876812,0.707140
23,8,6.966820,0.741604
24,8,6.966820,0.752876
25,8,7.116817,0.706186
26,8,7.116817,0.761631
27,8,7.266827,0.739838
28,8,7.266827,0.792773
29,8,7.446819,0.714995
30,8,7.446819,0.720734
31,8,7.566822,0.738501
32,8,7.566822,0.746607
33,8,7.326817,0.710713
34,8,7.326817,0.680872
35,8,7.476826,0.742326
36,8,7.476826,0.729427
37,8,7.236820,0.719807
38,8,7.236820,0.699889
39,8,7.326817,0.708027
40,8,7.326817,0.733733
41,8,7.146824,0.738239
42,8,7.146824,0.721203
43,8,6.906818,0.675815
44,8,6.906818,0.688734
45,8,6.906818,0.734928
46,8,6.906818,0.702719
47,8,7.116817,0.781946
48,8,7.116817,0.782264
49,8,7.266827,0.780823
50,8,7.266827,0.708984
51,8,7.146824,0.719094
52,8,7.146824,0.698636
53,8,7.146824,0.683715
54,8,7.146824,0.681091
55,8,7.146824,0.679827
56,8,7.146824,0.678826
57,8,7.146824,0.672425
58,8,7.146824,0.666817
59,8,7.146824,0.669551
60,8,7.146824,0.675019
61,8,7.146824,0.667131
62,8,7.146824,0.665020
63,8,7.146824,0.669770
64,8,7.146824,0.670880
65,8,7.146824,0.661928
66,8,7.146824,0.702881
67,8,7.146824,0.707453
68,8,7.146824,0.730539
69,8,7.146824,0.724861
70,8,7.146824,0.724861
71,8,7.146824,0.730539
72,8,7.146824,0.730539
73,8,7.146824,0.724713
74,8,7.146824,0.724713
75,8,7.146824,0.730539
76,8,7.146824,0.730539
77,8,7.146824,0.727694
78,8,7.146824,0.727694
79,8,7.146824,0.730539
80,8,7.146824,0.730539
81,8,7.146824,0.724713
82,8,7.146824,0.724713
83,8,7.146824,0.730539
84,8,7.146824,0.730539
85,8,7.146824,0.727694
86,8,7.146824,0.727694
87,8,7.146824,0.730539
88,8,7.146824,0.730539
89,8,7.146824,0.724861
90,8,7.146824,0.724861
91,8,7.146824,0.731822
92,8,7.146824,0.731822
93,8,7.146824,0.724861
94,8,7.146824,0.724861
95,8,7.146824,0.730539
96,8,7.146824,0.730539
97,8,7.146824,0.724861
98,8,7.146824,0.724861
99,8,7.146824,0.732103
0,9,-1.493179,0.760450
1,9,-1.493179,0.683516
2,9,-1.583181,0.654600
3,9,-1.583181,0.702682
4,9,-1.703178,0.741038
5,9,-1.703178,0.722296
6,9,-1.523180,0.746292
7,9,-1.523180,0.755614
8,9,-1.553181,0.730171
9,9,-1.553181,0.758927
10,9,-1.433178,0.853108
11,9,-1.433178,0.810646
12,9,-1.583181,0.808076
13,9,-1.583181,0.716287
14,9,-1.553181,0.740538
15,9,-1.553181,0.725860
16,9,-1.553181,0.705714
17,9,-1.553181,0.765672
18,9,-1.793180,0.844387
19,9,-1.793180,0.853448
20,9,-2.033180,0.858062
21,9,-2.033180,0.873716
22,9,-2.183178,0.874785
23,9,-2.183178,0.874776
24,9,-2.093182,0.874693
25,9,-2.093182,0.870778
26,9,-2.333181,0.842236
27,9,-2.333181,0.856576
28,9,-2.543180,0.857967
29,9,-2.543180,0.809947
30,9,-2.783180,0.863141
31,9,-2.783180,0.834198
32,9,-3.023180,0.831423
33,9,-3.023180,0.836863
34,9,-2.933178,0.868885
35,9,-2.933178,0.871097
36,9,-2.813181,0.875664
37,9,-2.813181,0.875478
38,9,-3.023180,0.875404
39,9,-3.023180,0.870032
40,9,-2.903183,0.875598
41,9,-2.903183,0.875466
42,9,-3.113182,0.874348
43,9,-3.113182,0.868432
44,9,-3.323181,0.853038
45,9,-3.323181,0.858315
46,9,-3.563181,0.876066
47,9,-3.563181,0.875971
48,9,-3.803181,0.869527
49,9,-3.803181,0.866925
50,9,-4.013180,0.863883
51,9,-4.013180,0.865120
52,9,-4.013180,0.867036
53,9,-4.013180,0.865514
54,9,-4.013180,0.862859
55,9,-4.013180,0.858981
56,9,-4.013180,0.865213
57,9,-4.013180,0.868382
58,9,-4.013180,0.863995
59,9,-4.013180,0.859583
60,9,-4.013180,0.864393
61,9,-4.013180,0.866409
62,9,-4.013180,0.867619
63,9,-4.013180,0.863235
64,9,-4.013180,0.864878
