env_partials,env_partial_decay,mirror_weight,seed,harmonic_tilt
6,0.600000,0.000,12648446,0.029457
6,0.600000,0.000,12648447,0.028666
6,0.600000,0.000,12648448,0.038712
6,0.600000,0.000,12648449,0.038426
6,0.600000,0.000,12648450,0.030609
6,0.600000,0.000,12648451,0.034550
6,0.600000,0.000,12648452,0.041701
6,0.600000,0.000,12648453,0.032550
6,0.600000,0.000,12648454,0.041392
6,0.600000,0.000,12648455,0.035350
6,0.600000,0.000,12648456,0.039214
6,0.600000,0.000,12648457,0.041774
6,0.600000,0.000,12648458,0.030330
6,0.600000,0.000,12648459,0.034338
6,0.600000,0.100,12648440,0.031227
6,0.600000,0.100,12648441,0.037379
6,0.600000,0.100,12648442,0.032994
6,0.600000,0.100,12648443,0.032574
6,0.600000,0.100,12648444,0.031742
6,0.600000,0.100,12648445,0.034190
6,0.600000,0.100,12648446,0.032181
6,0.600000,0.100,12648447,0.032155
6,0.600000,0.100,12648448,0.039437
6,0.600000,0.100,12648449,0.037200
6,0.600000,0.100,12648450,0.035740
