condition,seed,life_id,agent_id,birth_step,death_step,lifetime_steps,c_score_birth,c_score_firstk,avg_c_score_tick,c_score_std_over_life,avg_c_score_attack,c_level01_birth,c_level01_firstk,avg_c_level01_tick,c_level01_std_over_life,avg_c_level01_attack,attack_tick_count
baseline,12648460,139,17,875,1117,242,0.019133,0.019133,0.019133,0.000000,0.019133,0.509565,0.509565,0.509566,0.000000,0.509565,3
baseline,12648460,147,26,925,1132,207,0.066582,0.066582,0.066582,0.000122,0.066582,0.533225,0.533224,0.533225,0.000000,0.533225,2
baseline,12648460,151,29,937,1133,196,0.054704,0.054704,0.054704,0.000000,0.054704,0.527325,0.527325,0.527323,0.001326,0.527325,2
baseline,12648460,149,25,932,1140,208,0.032745,0.032745,0.032745,0.000000,0.032745,0.516327,0.516327,0.516327,0.000573,0.516327,2
baseline,12648460,144,2,905,1143,238,0.029859,0.029859,0.029859,0.000019,0.029859,0.514924,0.514924,0.514923,0.001132,0.514924,3
baseline,12648460,156,4,959,1154,195,0.050228,0.050228,0.050228,0.000000,0.050228,0.525091,0.525091,0.525091,0.000000,0.525091,2
baseline,12648460,135,16,865,1161,296,0.272723,0.272723,0.272723,0.000000,0.272723,0.630623,0.630623,0.630620,0.001424,0.630623,2
baseline,12648460,148,31,926,1168,242,0.044016,0.044016,0.044016,0.000000,0.044016,0.521990,0.521990,0.521989,0.000646,0.521990,3
baseline,12648460,145,7,920,1175,255,0.041954,0.041954,0.041954,0.000000,0.041954,0.520965,0.520965,0.520965,0.000000,0.520965,2
baseline,12648460,150,6,932,1177,245,0.003817,0.003817,0.003817,0.000000,0.003817,0.501908,0.501908,0.501908,0.000244,0.501908,3
baseline,12648460,157,28,970,1183,213,0.012130,0.012130,0.012130,0.000000,0.012130,0.506065,0.506065,0.506065,0.000000,0.506065,2
baseline,12648460,146,9,923,1187,264,0.075154,0.075154,0.075154,0.000116,0.075154,0.537506,0.537506,0.537506,0.000299,0.537506,3
baseline,12648460,152,10,941,1197,256,0.033329,0.033329,0.033329,0.000040,0.033329,0.516658,0.516658,0.516657,0.001402,0.516658,3
baseline,12648460,154,12,954,1205,251,0.011056,0.011056,0.011056,0.000009,0.011056,0.505528,0.505528,0.505529,0.000000,0.505528,3
baseline,12648460,158,15,1013,1208,195,0.051099,0.051099,0.051099,0.000000,0.051099,0.525511,0.525511,0.525512,0.000000,0.525511,1
baseline,12648460,155,20,959,1212,253,0.099985,0.099985,0.099985,0.000000,0.099985,0.547119,0.547119,0.547119,0.000000,0.547119,3
baseline,12648460,159,19,1018,1228,210,0.023518,0.023518,0.023518,0.000017,0.023518,0.511755,0.511755,0.511755,0.000000,0.511755,2
baseline,12648460,161,11,1027,1241,214,0.035803,0.035803,0.035803,0.000092,0.035803,0.517893,0.517893,0.517891,0.000810,0.517893,2
baseline,12648460,160,1,1018,1256,238,0.034126,0.034126,0.034126,0.000000,0.034126,0.517044,0.517044,0.517044,0.000000,0.517044,2
baseline,12648460,163,22,1040,1259,219,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,162,0,1040,1265,225,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,164,21,1052,1276,224,0.057071,0.057071,0.057071,0.000022,0.057071,0.528464,0.528464,0.528465,0.000000,0.528464,2
baseline,12648460,167,27,1081,1276,195,0.050280,0.050280,0.050280,0.000000,0.050280,0.525109,0.525109,0.525108,0.000000,0.525109,2
baseline,12648460,165,24,1062,1281,219,0.054203,0.054203,0.054203,0.000000,0.054203,0.527068,0.527068,0.527069,0.000000,0.527068,2
baseline,12648460,168,13,1092,1299,207,0.000000,0.000000,0.000000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.500000,2
baseline,12648460,166,30,1075,1309,234,0.250056,0.250055,0.250056,0.000000,0.250056,0.618975,0.618975,0.618974,0.001348,0.618975,1
baseline,12648460,173,18,1107,1310,203,0.096392,0.096392,0.096392,0.000000,0.096392,0.548047,0.548047,0.548048,0.000000,0.548047,2
baseline,12648460,172,3,1105,1328,223,0.040137,0.040137,0.040137,0.000056,0.040137,0.520057,0.520057,0.520058,0.000000,0.520057,2
baseline,12648460,170,8,1100,1329,229,0.039657,0.039657,0.039657,0.000000,0.039657,0.519815,0.519815,0.519814,0.000772,0.519815,2
baseline,12648460,171,5,1101,1333,232,0.032799,0.032799,0.032799,0.000084,0.032799,0.516393,0.516393,0.516394,0.000000,0.516393,2
baseline,12648460,175,26,1133,1334,201,0.030971,0.030971,0.030971,0.000000,0.030971,0.515481,0.515480,0.515480,0.000772,0.515481,2
baseline,12648460,169,14,1093,1341,248,0.039934,0.039934,0.039934,0.000000,0.039934,0.519955,0.519955,0.519953,0.001208,0.519955,2
baseline,12648460,177,25,1141,1343,202,0.017901,0.017901,0.017901,0.000000,0.017901,0.508949,0.508949,0.508949,0.000000,0.508949,1
baseline,12648460,180,16,1162,1349,187,0.000090,0.000090,0.000090,0.000000,0.000090,0.500045,0.500045,0.500045,0.000000,0.500045,2
baseline,12648460,178,2,1144,1351,207,0.016082,0.016082,0.016082,0.000013,0.016082,0.508037,0.508037,0.508036,0.001245,0.508037,2
baseline,12648460,174,17,1118,1359,241,0.000057,0.000057,0.000057,0.000000,0.000057,0.500029,0.500029,0.500030,0.000000,0.500029,2
baseline,12648460,176,29,1134,1360,226,0.070404,0.070404,0.070404,0.000163,0.070404,0.535140,0.535140,0.535141,0.000000,0.535140,1
baseline,12648460,181,31,1169,1361,192,0.033698,0.033698,0.033698,0.000034,0.033698,0.516841,0.516841,0.516840,0.000518,0.516841,1
baseline,12648460,182,7,1176,1365,189,0.012985,0.012985,0.012985,0.000031,0.012985,0.506492,0.506492,0.506492,0.000000,0.506492,1
baseline,12648460,183,6,1178,1380,202,0.048990,0.048990,0.048990,0.000000,0.048990,0.524475,0.524475,0.524475,0.000000,0.524475,2
baseline,12648460,186,10,1198,1390,192,0.031453,0.031453,0.031453,0.000000,0.031453,0.515721,0.515721,0.515722,0.000000,0.515721,1
baseline,12648460,188,15,1209,1398,189,0.015934,0.015934,0.015934,0.000032,0.015934,0.507966,0.507966,0.507965,0.000977,0.507965,0
baseline,12648460,184,28,1184,1414,230,0.234748,0.234748,0.234749,0.000000,0.234748,0.601702,0.601702,0.601701,0.000992,0.601702,2
baseline,12648460,187,12,1206,1419,213,0.091414,0.091414,0.091414,0.000075,0.091414,0.545373,0.545373,0.545372,0.001064,0.545373,1
